Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
22:14.0,43.796844, N,70.176376, W,0,0,1,27.88,28.5,27.25,28.75
22:19.0,43.796844, N,70.176376, W,0,0,1,27.81,28.5,27.31,29
22:24.0,43.796844, N,70.176376, W,0,0,1,27.81,28.25,27.31,28.75
22:29.0,43.796844, N,70.176376, W,0,0,1,27.81,28.25,27.44,28.5
22:35.0,43.796844, N,70.176384, W,0,0,1,27.81,28.5,27.44,28.5
22:40.0,43.796844, N,70.176384, W,0,0,1,27.81,28.25,27.44,28.75
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
22:52.0,43.796841, N,70.176369, W,0,0,1,27.81,28.5,27.69,28.75
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
23:47.4,0, ,0, ,0,0,0,27.88,28.25,30.19,28.75
23:52.0,0, ,0, ,0,0,0,28.13,28.5,30.38,28.75
23:57.0,0, ,0, ,0,0,0,28.31,28.5,30.63,28.75
24:03.0,43.796848, N,70.176369, W,0.13,0,1,28.44,28.5,30.81,28.75
24:08.0,43.796833, N,70.176384, W,0.15,0,1,28.63,28.5,31,28.75
24:13.0,43.796837, N,70.176384, W,0,0,1,28.81,28.5,31.19,28.5
24:18.0,43.796837, N,70.176384, W,0,0,1,29,28.5,31.44,28.75
24:23.0,43.796833, N,70.176384, W,0,0,1,29.13,28.5,31.56,28.75
24:28.0,43.796829, N,70.176384, W,0,0,1,29.25,28.5,31.75,28.75
24:33.0,43.796825, N,70.176384, W,0,0,1,29.38,28.5,32.06,29
24:38.0,43.796825, N,70.176384, W,0,0,1,29.56,28.5,32.19,28.75
24:44.0,43.796825, N,70.176376, W,0,0,1,29.75,28.5,32.5,28.75
24:49.0,43.796825, N,70.176376, W,0,0,1,30,28.5,32.81,29
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
25:01.0,43.796822, N,70.176376, W,0,0,1,30.56,28.75,33.38,29
25:06.0,43.796822, N,70.176369, W,0,0,1,30.56,28.5,33.44,28.75
25:11.0,43.796822, N,70.176369, W,0,0,1,30.56,28.5,33.44,28.75
25:16.0,43.796822, N,70.176369, W,0,0,1,30.63,28.5,33.56,29
25:22.0,43.796822, N,70.176369, W,0,0,1,30.69,28.5,33.56,28.75
25:27.0,43.796822, N,70.176369, W,0,0,1,30.81,28.5,33.56,29
25:32.0,43.796822, N,70.176369, W,0,0,1,30.81,28.75,33.56,28.75
25:37.0,43.796822, N,70.176369, W,0,0,1,30.81,28.5,33.5,28.75
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
25:49.0,43.796818, N,70.176369, W,0,0,1,30.63,28.5,33.44,29
25:54.0,43.796818, N,70.176369, W,0,0,1,30.63,28.5,33.56,29
26:00.0,43.796818, N,70.176369, W,0,0,1,30.63,28.5,33.69,28.75
26:05.0,43.796818, N,70.176369, W,0,0,1,30.69,28.75,33.81,29
